parent_molecule_chembl_id,pref_name,smiles,structure_image_url,pchembl_value,standard_type,standard_relation,standard_value,standard_units,role,best_target,targets_hit,n_targets_hit,assay_chembl_id,assay_type,confidence_score,assay_organism,molecule_chembl_id,target_chembl_id,TAG,standard_inchi_key
CHEMBL5810323,,COc1cccc2c1nc(N)n1nc([C@H]3CC(F)(F)CCO3)nc21,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5810323.png,8.7,Ki,=,2,nM,antagonist,A2AR,A2AR,1,CHEMBL5735982,B,9,Homo sapiens,CHEMBL5810323,CHEMBL251,A2AR,GWLXKAIKLPBRJG-SNVBAGLBSA-N
CHEMBL5810327,,COC(=O)C1CCN(c2ccc(C(=O)Nc3nc(-c4ccccc4)c(C#N)s3)cn2)CC1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5810327.png,6.99,Ki,=,103,nM,antagonist,A3R,A3R,1,CHEMBL5735646,B,9,Homo sapiens,CHEMBL5810327,CHEMBL256,A3R,QZCJKDAQIZQNRF-UHFFFAOYSA-N
CHEMBL5810365,,N#Cc1cccc(-c2nc(N)cnc2-c2cc(Cl)c3ncccc3c2)c1F,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5810365.png,8.51,IC50,=,3.1,nM,antagonist,A2AR,A2AR,1,CHEMBL5737999,B,9,Homo sapiens,CHEMBL5810365,CHEMBL251,A2AR,PDOAHVOSVXXESW-UHFFFAOYSA-N
CHEMBL5810523,,C[C@@H](Cc1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4)N1CCCC(F)(F)C1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5810523.png,8.39,Ki,=,4.1,nM,antagonist,A2AR,A2AR,1,CHEMBL5737048,B,9,Homo sapiens,CHEMBL5810523,CHEMBL251,A2AR,SSPZFHOKRSYMDV-VIFPVBQESA-N
CHEMBL5810835,,CC1CCC(C(=O)NC2CN(C(=O)c3nc(N[C@@H](C)c4cncc(F)c4)nc4ccsc34)C2)CC1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5810835.png,7.52,IC50,=,30,nM,antagonist,A2AR,A2AR;A2BR;A3R,3,CHEMBL5737879,B,9,Homo sapiens,CHEMBL5810835,CHEMBL251,A2AR,KMQAWAGKRVBPLV-PCKAHOCUSA-N
CHEMBL5811087,,COc1cc2nc(N)n3nc([C@@H]4CCCCN(c5cnn(CC(C)(C)O)c5)C4)nc3c2cc1F,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811087.png,8.3,IC50,=,5,nM,antagonist,A2AR,A2AR;A2BR,2,CHEMBL5738035,B,9,Homo sapiens,CHEMBL5811087,CHEMBL251,A2AR,XGKMNOOYGOOALM-CQSZACIVSA-N
CHEMBL5811262,,C[C@H](Nc1nc(C(=O)N[C@H](C)c2cccnc2)c2sccc2n1)c1cccnc1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811262.png,6.52,IC50,=,300,nM,antagonist,A2BR,A2BR,1,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5811262,CHEMBL255,A2BR,QSEJYFBUZUKFTO-KGLIPLIRSA-N
CHEMBL5811331,,COC1CN(c2nc(N)n3nc(Cc4c(F)cccc4F)nc3c2-c2ccc3ncc(C)n3c2)C1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811331.png,8.46,IC50,=,3.5,nM,antagonist,A2AR,A1R;A2AR,2,CHEMBL5736162,B,9,Homo sapiens,CHEMBL5811331,CHEMBL251,A2AR,RPNNVPNPQYTQTJ-UHFFFAOYSA-N
CHEMBL5811414,,Cc1ccc(-c2nc(N)nc3c2C(=O)N(C)C3=Cc2ccccc2OC(F)(F)F)o1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811414.png,8.44,IC50,=,3.6,nM,antagonist,A2AR,A2AR,1,CHEMBL5736993,B,9,Homo sapiens,CHEMBL5811414,CHEMBL251,A2AR,OGUVCIIOOFYHST-UHFFFAOYSA-N
CHEMBL5811659,,Cn1cc(-c2nc(C(=O)NCc3cccc(N)n3)c(N)nc2-c2ncco2)ccc1=O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811659.png,7.96,IC50,=,11,nM,antagonist,A2AR,A2AR,1,CHEMBL5736345,B,9,Homo sapiens,CHEMBL5811659,CHEMBL251,A2AR,XBKMJZVUSIRMKX-UHFFFAOYSA-N
CHEMBL5811740,,O[C@@H]1[C@H](O)CS[C@H]1c1nnc2c(NCCc3ccc(F)cc3F)nccn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811740.png,7.26,IC50,=,55,nM,antagonist,A3R,A3R,1,CHEMBL5732465,B,9,Homo sapiens,CHEMBL5811740,CHEMBL256,A3R,AIFWYAXAUFNMRC-MGPQQGTHSA-N
CHEMBL5811766,,COc1cccc2c1nc(N)n1nc([C@H]3CNCC(F)(F)C3)nc21,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811766.png,8.62,Ki,=,2.4,nM,antagonist,A2AR,A2AR,1,CHEMBL5735982,B,9,Homo sapiens,CHEMBL5811766,CHEMBL251,A2AR,OSBIIPHUJPCBSF-MRVPVSSYSA-N
CHEMBL5811768,,CCn1c(=O)c2c(C)c(Cn3cc[nH]c3=O)sc2n(CCOC)c1=O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811768.png,8.55,Ki,=,2.8,nM,antagonist,A2BR,A1R;A2AR;A2BR,3,CHEMBL5734452,B,9,Homo sapiens,CHEMBL5811768,CHEMBL255,A2BR,FLYJDKQWLFTMBW-UHFFFAOYSA-N
CHEMBL5811772,,COc1cc(F)cc2c(NNC(=O)C3CCCN(c4cnn(C)c4)C3)nc(N)nc12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811772.png,8.85,IC50,=,1.4,nM,antagonist,A2AR,A2AR;A2BR,2,CHEMBL5738035,B,9,Homo sapiens,CHEMBL5811772,CHEMBL251,A2AR,UJKSRDXNLUZKBW-UHFFFAOYSA-N
CHEMBL5811898,,Nc1nc(-c2ncco2)c(-c2ccc(=O)n(CCO)c2)nc1C(=O)NCc1c(F)cccc1F,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5811898.png,8.48,IC50,=,3.3,nM,antagonist,A2AR,A2AR,1,CHEMBL5736345,B,9,Homo sapiens,CHEMBL5811898,CHEMBL251,A2AR,DERZXALTFBZAHJ-UHFFFAOYSA-N
CHEMBL5812135,,COC1CN(C(=O)c2nc(N[C@@H](C)c3cncc(F)c3)nc3cc(C)sc23)C1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5812135.png,7.12,IC50,=,75,nM,antagonist,A1R,A1R;A2AR;A3R,3,CHEMBL5737880,B,9,Homo sapiens,CHEMBL5812135,CHEMBL226,A1R,KWRDMVIRSKNXJG-NSHDSACASA-N
