feature_set,model,mae,rmse,r2,n_train,n_test
Morgan2048_only,XGBRegressor,0.5863734749428321,0.7435559481535529,0.36443306924027874,6332,1583
RDKitFP2048_only,XGBRegressor,0.5846884715911036,0.7542312930673188,0.34605220063785336,6332,1583
Morgan2048_plus_7desc,XGBRegressor,0.5792112399382601,0.7389734326934395,0.37224289304170743,6332,1583
